title,link,salary,company,description
Бариста-бармен в ресторан «Americano»,https://hh.ru/vacancy/118343383?query=%D0%B1%D0%B0%D1%80%D0%B8%D1%81%D1%82%D0%B0&hhtmFrom=vacancy_search_list,"от 75 000 до 125 000 ₽ за месяц,  на руки",Не указана,"Обязанности:Ежедневная подготовка бара к бесперебойной качественной работеПриготовление напитков по тех картам, коктейли, лимонады, смузи, шейки, особенно кофеЕжедневный заказ на барПроведение ежемесячной инвентаризацииТребования:• Активность , стрессоустойчивость, позитивный настрой• Желание расти и развиваться вместе с нами• Инициативность , если у тебя действительно есть крутые идеи, будь уверен они не останутся без внимания• Мед книжка или готовность её сделать в кратчайшие сроки• Можно с минимальным опытом, всему научим.Условия:• Шаговая доступность от метро , работа в 3 минутах от станции Славянский бульвар• Ставка 5 000₽ + 10% чая от официантов• с 08:00 до 22:30 (14,5ч)• При надобности оформление по ТК РФ• Оплата труда 2 раза в месяц аванс и зарплата• Бесплатное вкусное трёх разовое питание + 50% скидка на всё меню• Мы выдаём тебе стильную униформу"
Бариста,https://hh.ru/vacancy/117551602?query=%D0%B1%D0%B0%D1%80%D0%B8%D1%81%D1%82%D0%B0&hhtmFrom=vacancy_search_list,"от 90 000 до 120 000 ₽ за месяц,  на руки",Не указана,"В ТЦ ""Савеловский"" ищем Бариста для приготовления кофе. Формат заведения - кофе с собой. Мы предлагаем:  Работу в стабильной компании. Более 10 лет на рынке общественного питания. Гражданство не имеет значения. Официальное трудоустройство по ТК РФ. Оплату отпуска, больничных. Стабильную и своевременную заработную плату 2 раза в месяц. График работы 2/2, 5/2, с 9.00 до 21.00: оплата 1 смены 3 900 руб. + % от выручки + чай. Совокупный доход от 4 000 - 6 000 руб. за смену. Чистое, уютное рабочее место работы! Расположение - в шаговой доступности от м. Савеловская, 5 минут пешком. Бесплатное питание (завтрак, обед).  Обязанности:  Внимательное и вежливое обслуживание гостей. Приготовление холодных и горячих напитков. Работа на кассе.  Требования:  Опыт работы в аналогичной должности от 6 месяцев (рожковая кофемашина). Доброжелательность, аккуратность. Наличие медицинской книжки или готовность её сделать. Если Вы хотите работать в дружеской атмосфере - это работа для Вас.  Ждём Вас в нашей команде."
Бариста (стажер),https://hh.ru/vacancy/118381789?query=%D0%B1%D0%B0%D1%80%D0%B8%D1%81%D1%82%D0%B0&hhtmFrom=vacancy_search_list,"от 80 000 до 100 000 ₽ за месяц,  на руки",Не указана,"Популярная сеть бабл ти JINJU открывает набор на позицию бариста-кассир! Мы активно развиваемся и собираем команду, готовую развиваться и расти вместе с нами. Будем рады видеть тебя: Если ты открыт к новым идеям и новым возможностям. Если ты хочешь создавать с нами уникальный продукт. Даже если ты без опыта работы, но заряжен и готов пробовать, мы поможем стать профессионалом!   Обязанности: Приготовление напитков по тех карте; Обслуживание гостей; Работа с кассой; Поддержание порядка и чистоты на рабочем месте. Требования: Опрятный внешний вид; Открыты к обучению и развитию. Условия: Профессиональное бесплатное обучение по стандартам компании (теория и практика с наставником); Оплата почасовая (333р/час); Стабильная заработная плата 2 раза в месяц; Гибкий график, плавающие выходные, смены по 8-12 часов; Скидка на продукцию; Возможность карьерного роста; Дружный коллектив; Возможность совмещать работу с учебой.   Все локации находятся в центре Москвы, легко и удобно добираться. Мы ждем тебя в нашу дружную команду JINJU!"
Бариста в кофейню Croc Coffee,https://hh.ru/vacancy/117906738?query=%D0%B1%D0%B0%D1%80%D0%B8%D1%81%D1%82%D0%B0&hhtmFrom=vacancy_search_list,"от 90 000 до 105 000 ₽ за месяц,  на руки",Не указана,"Croc Coffee - кофейня to go-формата в бизнес-центре одной из крупнейших IT-компаний России «Крок Инкорпорейтед».   В нашей команде есть место для одного профессионального бариста, ответственного, инициативного сотрудника.   Обязанности: ▸ Приготовление кофейных и других напитков согласно рецептур кофейни ▸ Работа с системой quick resto и простейшая электронная отчетность ▸ Поддержание чистоты и порядка на рабочем месте ▸ Прием поставок (порой довольно тяжелых) ▸ Поддержание беседы с гостем, консультация по меню   Требования: ▸ Опрятный внешний вид ▸ Ответственность, инициативность и внимательность ▸ Доброжелательность и внимание к гостям, грамотная речь и умение поддержать разговор ▸ Умение находить общий язык с напарником, слаженно и быстро работать на потоке ▸ Опыт работы от полугода ▸ Твердый навык настройки помола, грамотное взбивание, базовый латте-арт, время отдачи напитка – 1-2 минуты   Условия: ▸ График 5/2 по будним дням (мы подстраиваемся под график работы БЦ и другой график предложить не можем) ▸ Режим работы: с 8:45 до 20:15, есть часовой перерыв на обед ▸ Стабильная оплата два раза в месяц (25 и 10 число) ▸ Работа в паре на интенсивном потоке ▸ Оплата фикс 2500₽ + 3% процента от выручки, выходит 4200₽-4700₽/смена     ВАЖНО: ближайшие несколько месяцев кофепоинт не будет подключен к мокрой точке, работаем на баллонах. Они меняются единожды в день. В стойке есть ринзер, недалеко – комфортное пространство с раковиной.    P.S. Нас нельзя найти на Яндекс Картах — мы находимся в закрытом для прохожих людей бизнес-центре и работаем только для сотрудников и гостей компании Крок Инкорпорейтед."
Бариста,https://hh.ru/vacancy/118095513?query=%D0%B1%D0%B0%D1%80%D0%B8%D1%81%D1%82%D0%B0&hhtmFrom=vacancy_search_list,"от 60 000 до 80 000 ₽ за месяц,  на руки",Не указана,"Привет! Мы дружная команда k-style кафе 2Bulki, и сейчас мы находимся в поиске бариста. 2bulki - кафе-пекарня полного цикла. Наш фокус - вкусный кофе, выпечка и сэндвичи в корейском стиле.  Мы находимся в 3 минутах пешком от метро Площадь Ильича/Римская на территории нового, динамично развивающегося бизнес кластера PANGEA. Будем рады видеть в своей команде людей, которые разделяют наше увлечение кофе и свежей выпечкой. Что мы ожидаем от вас:  Опыт работы с кофе Умение работать в условиях потока клиентов Приветливость и открытость к общению  Что будет входить в обязанности:  Приветствие гостей и помощь в выборе блюд и напитков Прием, сбор заказа, приготовление напитков, выдача заказа Выкладка на витрину, внимание к чистоте в барно-кассовой зоне Информирование гостей о специальных предложениях  Условия:  Официальное трудоустройство, своевременные выплаты Сменный график 2/2, или 4/2 Оплачиваемая стажировка Ставка 4 000 на руки за смену + чаевые Дружный коллектив 3 минуты пешком от метро Площадь Ильича/Римская"
Бариста,https://hh.ru/vacancy/117682517?query=%D0%B1%D0%B0%D1%80%D0%B8%D1%81%D1%82%D0%B0&hhtmFrom=vacancy_search_list,"до 110 000 ₽ за месяц,  на руки",Не указана,"Мы молодая и успешно развивающаяся сеть кофеен, которая с любовью дарит широкий ассортимент вкусных авторских напитков и отличное настроение каждому гостю! Наши кофейни - это про открытость, креативность и раскрепощенность, а также вкусный кофе и нетривиальные сочетания! Ждем тебя в нашей команде единомышленников, где есть все возможности проявить свои таланты. Нам по пути, если ты:  Кайфуешь от общения с людьми; Обладаешь крутыми навыками продаж и нацелен на увеличение товарооборота кофейни; Можешь поддерживать контакт с постоянными гостями, а также с легкостью привлекать новых; Умеешь готовить вкусный кофе или готов обучиться чему-то новому; Знаешь, как поднять настроение не только себе, но и окружающим; Готов развиваться и достигать новых высот вместе с нами.  Чем тебе предстоит заниматься:  Готовить авторские напитки, разумеется, не забывая про классику; Заниматься развитием кофейни и работать над узнаваемостью бренда; Принимать активное участие в дегустациях новых позиций; Проходить обучение в тренинг-центре для регулярного апгрейда своих скиллов; И, конечно же, соблюдать чистоту и порядок на рабочем месте.  Что мы предлагаем:  Оплачиваемую стажировку - 300р/час (до 2-х недель); Работу рядом с метро Нагатинская или Новые Черемушки; Гибкий график работы: 7/0, 5/2, 3/3, 2/2 и тд., смены от 8 до 13 часов на выбор; Часовую ставку 330-350р (повышается в зависимости от навыка продаж); Ежемесячную премию по результатам работы; Возможность карьерного роста (бариста-старший бариста-администратор); Стильную и удобную униформу.  Если ты ищешь место, где хотел бы получить не только ценные знания, но и возможность реализовывать их на деле - наш френдли коллектив ждет тебя!"
Бариста,https://hh.ru/vacancy/105798333?query=%D0%B1%D0%B0%D1%80%D0%B8%D1%81%D1%82%D0%B0&hhtmFrom=vacancy_search_list,"от 70 000 ₽ за месяц,  на руки",Не указана,"Сеть кафе STAR HIT CAFE - стабильно развивающийся российский бренд с многолетней историей, основанный на сочетании отличных идей, грамотных управленческих решений и стремлении быть лучшими в своем деле.STAR HIT CAFE в нескольких словах – отличные люди, превосходный кофе и атмосфера.Мы в поисках Бариста, которые любят кофе, атмосферу и общение. Для работы с нами не требуется опыт, мы всему научим!Мы гарантируем:Стабильность и растущий доход.Почасовая ставка 270 р/часЕжемесячная премия 10% при выполнении плана продаж.Пример:После обучения можно выбрать любой график работы, по 4,6, 8 часов, либо:- 5\2 по 13 часов (1 час перерыв): твой доход до премии - 72 000₽ на руки, с премией - 80 000₽ на руки.- 5\2 по 8 часов (30 минут перерыв): твой доход до премии - 45 000₽ на руки, с премией – 50 000₽ на руки. Либо любой другой индивидуальный график с высоким постоянным доходом!     Полное соблюдение ТК РФ. Учебный/ежегодный отпуск, оплачиваемый больничный. Удобный график. Полная/частичная занятость. График выходного дня. Мы готовы предоставить график от 4 часов в день (в любое время) Обучение и развитие. Корпоративное обучение с первого дня, возможность построить карьеру. Развивать свои лидерские качества или мастерство кофеварения. Индивидуальность. У нас нет строгой формы: любимая одежда, макияж, маникюр. Оставайся собой вместе с нами.   Бонусы:    Бесплатные напитки. 30% скидка на продукцию Бренда. 100% компенсация затрат на медицинскую книжку. Чек-ап здоровья с персональной скидкой. 65% скидка на курсы от SKILLBOX Персональная скидка на спортивные абонементы от FITMOST Подарки на день рождения, мерч в честь праздников! Тренинги и развивающие мероприятия. Насыщенная корпоративная жизнь: сезонные корпоративы летом и зимой. Море угощений: дни напитков, сладкие дни, пицца-party!    Тебя ждёт молодая команда профессионалов, в которой легко работать и строить карьеру. Работа бариста - это делать жизнь людей ярче каждый день! Ты будешь готовить кофе, общаться с гостями, создавать теплую атмосферу, работать на кассе, поддерживать чистоту и порядок в кафе.Мы ждем именно тебя. Давай вдохновлять и впечатлять гостей вместе ❤ Наши кафе находятся по адресам: м. Кузнецкий Мост, улица Кузнецкий Мост, 18/7 строение 1 (от метро 2 минуты пешком) м. Фили, Багратионовский пр. д. 5, ТЦ ""Филион"", фуд-корт, 3 этаж м. Шаболовская, ул. Шаболовка, 31Г ( на пересечении улицы Шаболовка и Конного переулка) м. Деловой центр, Пресненская наб., 2, ТРЦ ""Афимолл"", 1 этаж м. Деловой центр, Пресненская наб., 12, МФК Башня ""Федерация"", 1 этаж м. Семеновская, Семеновская пл, д. 1, ТРЦ «Семеновский», 2 этаж м. Тульская, ул. Большая Тульская, 11, ТДК «Тульский», 1 этаж м. Автозаводская, ул. Автозаводская, д.18, ТРЦ «Ривьера», 3 этаж, атриум м. Павелецкая, Дербеневская 15Б, БЦ «Свежий ветер», 1 этаж м. Юго-Западная, ул. Покрышкина, д.4, ТЦ «Звездочка», 3 этаж м. Юго-Западная, пр. Вернадского, 86А, ТЦ «Авеню», 4 этаж м. Саларьево, 23-й км, Киевское ш., д.1, ТРЦ «Саларис», 2 этаж м. Алтуфьево, Дмитровское шоссе, д.163А, ТРЦ «РИО Дмитровка», 1 этаж м. Алтуфьево, Алтуфьевское шоссе, 1-й километр, владение 3, с.1, ТРЦ «Весна» - 2 кофейни (1,2 этажи) Зеленоград, д.Черная Грязь, Торгово-Промышленная улица, 6 аутлет-центр Fashion House."
Бариста,https://hh.ru/vacancy/117795306?query=%D0%B1%D0%B0%D1%80%D0%B8%D1%81%D1%82%D0%B0&hhtmFrom=vacancy_search_list,"от 50 000 до 99 000 ₽ за месяц,  на руки",Не указана,"В кондитерскую на Маросейка требуется бариста. Мы предлагаем работу в удобном гибком графике. Рабочая смена от 6 до 12 часов. График составляется еженедельно, поэтому Вы сможете удобно планировать свои выходные. Если у Вас нет опыта, но Вы хотите быть бариста, наш шеф-бариста Вас обучит.   Обязанности:  подготовка к открытию/закрытию кондитерской приготовление напитков согласно ТК умение продавать продукцию кондитерской  Требования:  пунктуальность умение работать в команде честность  Условия:  ставка от 300 рублей оформление по ТК РФ выплаты два раза в месяц предоставляем питание, форму,медкнижка за наш счет"
Бариста-кассир в сеть кофеен,https://hh.ru/vacancy/118228268?query=%D0%B1%D0%B0%D1%80%D0%B8%D1%81%D1%82%D0%B0&hhtmFrom=vacancy_search_list,"от 80 000 ₽ за месяц,  на руки",Не указана,"CofeFest — это не просто сеть кофеен, это место, где каждый найдет свою атмосферу. Мы создаем вкус и дарим настроение! CofeFest сегодня – это более 150 кофеен различного формата: от уютных кофеен в бизнес-центрах и медицинских учреждениях, до современных заведений с расширенной посадкой. Наши ценности — это основа нашего успеха. Мы уверены, что ответственность, качество, вовлеченность и поддержка помогут создать уникальную среду, где каждый сотрудник чувствует свою значимость. Мы свободны от стереотипов: в нашей команде не важны национальность, пол или годы. Мы постоянно развиваемся, совершенствуемся и поддерживаем стремление сотрудников к развитию и самореализации. Нам абсолютно не важно есть ли у вас опыт, мы будем рады видеть вас в команде COFEFEST! Мы предлагаем: · Официальное трудоустройство по ТК РФ. · График работы 6/1, 5/2, 2/2 с 7.00 до 19.00 · Конкурентную заработную плату. Бонусы и % от продаж. · Возможность влиять на свой доход. Дополнительная мотивация. · Бесплатное двухразовое питание и напитки. · Бесплатное обучение и стильная униформа. · Оплачиваемая стажировка. · Скидки на продукцию · Возможности профессионального развития и карьерного роста. Наши бариста растут по карьерной лестнице до старших бариста, территориальных управляющих и региональных директоров. · Работа рядом с домом. Удобная транспортная доступность. Все кофейни находятся в Москве, подберем наиболее удобную по расположению. · Дружный, отзывчивый коллектив, готовый оказать поддержку в решении любых вопросов. · А также: профессиональные конкурсы, сладкие подарки и поздравления на праздники, приятные комплименты от Компании. Обязанности: · Качественное приготовление кофе и других напитков по утвержденным рецептурам. · Прием и выкладка продукции. · Активные продажи продукции собственного производства COFEFEST (готовая выпечка, кулинария, кофе и десерты). Работа с кассой (iiko). · Поддержание чистоты и порядка на рабочем месте. · Создание уютной атмосферы гостеприимства и позитивного настроения гостей. Наши пожелания к новому сотруднику: · Позитивный настрой, желание работать, расти и развиваться вместе с нами. · Приветливость, коммуникабельность, ориентация на клиента. · Ответственность, аккуратность, пунктуальность. Присоединяйся к нашей дружной команде и открой для себя новые горизонты! Сделай свое будущее с CofeFest!"
Бариста в Караваевы,https://hh.ru/vacancy/118466295?query=%D0%B1%D0%B0%D1%80%D0%B8%D1%81%D1%82%D0%B0&hhtmFrom=vacancy_search_list,"до 110 000 ₽ за месяц,  на руки",Не указана,"Кулинарные лавки Братья Караваевы - это сеть современных городских кафе в формате fast casual, являющееся частью экосистемы Нефтьмагистраль. Что мы предлагаем:  График: смены – 8, 9, 10, 12 часов в день Гарантированные выплаты 2 раза в месяц Фиксированная часовая ставка + % от выручки кулинарной лавки Возможность получать дополнительную премию за наставничество Официальное оформление по ТК РФ Работа рядом с домом или учебным заведением Оплата стажировки с 1-ого дня Помощь в оформлении медицинской книжки. Работа в красивом Московском кафе с оригинальным дизайном Обеспечиваем питанием по меню кафе за счет компании, экономия более 10.000 рублей в месяц  С нами можно:  Пройти обучение в школе бариста за счет компании. Мы за качество во всем Получить сертификат государственного образца о повышении квалификации Развиваться и расти внутри компании до руководителя или перейти на офисную должность Участвовать в спортивных и корпоративных мероприятиях компании, быть на драйве  Что делают наши бариста:  Консультируют покупателей по ассортименту напитков и десертов Информируют гостей о действующей системе лояльности Производят расчëт гостей на кассе Работают на рожковой кофемашине Готовят авторские напитки Выкладывают продукцию на витрину  Мы ценим в кандидатах и сотрудниках:  Способность создавать атмосферу уюта. Мы одержимы нашими гостями Вежливость, внимательность и заботу о госте Для нас важно единство команды и результат каждого.  Приведи в компанию друга и получи 10.000 рублей!"
Бариста,https://hh.ru/vacancy/118079559?query=%D0%B1%D0%B0%D1%80%D0%B8%D1%81%D1%82%D0%B0&hhtmFrom=vacancy_search_list,"от 70 000 ₽ за месяц,  на руки",Не указана,"Обязанности:• Приготовление напитков согласно технологическим картам;• Заготовки: фрукты, чаи, тапиока;• Поддержание чистоты на рабочем месте;• Работа с кассой;• Общение с гостями за баром;•Закрытие и открытие смены,отчетность.Требования:•Опыт работы бариста от 1 месяца, но возможно без опыта, главное мотивация;• Желание работать и развиваться в профессии бариста;• Ответственность и пунктуальность;• Любовь к чаю и чайной культуре.Условия:• График 5/2, 4/3, 3/3;• Ставка после сдачи аттестации 370 руб/час;• Оплачиваемая стажировка;•Скидка 50% на продукцию."
Бариста в кафе,https://hh.ru/vacancy/118017889?query=%D0%B1%D0%B0%D1%80%D0%B8%D1%81%D1%82%D0%B0&hhtmFrom=vacancy_search_list,"от 75 000 ₽ за месяц,  на руки",Не указана,"Привет! На связи команда “ЛЕС”: Мы меняем отношение к индустрии и убеждены, что любая профессия может быть творчеством. Сейчас мы формируем команду и если наши ценности тебе близки – добро пожаловать!   У нас:  Комфортный график. Выплаты без задержек. Отсутствие штрафов. Качественный и вкусный стафф. Обучение, оплачиваемая стажировка и программа адаптации. Корпоративная культура и традиции. (Хорошо работаем - хорошо отдыхаем)    Обязанности:  приготовления напитков по ттк поддержание чистоты на рабочем месте, участие в ген. уборках работа с кассовой системой iiko  контроль текущих продуктовых остатков на рабочем месте, участие в инвентаризация   Наши пожелания:  Счастья Любви вашему дому    Условия: График 4/3, 5/2, 2/2 по желанию  Смена 10-14 часов Оплачиваемая стажировка. Если вы с хорошим опытом, обучение пройдёт за пару смен Бесплатное питание и форма"
Бариста,https://hh.ru/vacancy/117659720?query=%D0%B1%D0%B0%D1%80%D0%B8%D1%81%D1%82%D0%B0&hhtmFrom=vacancy_search_list,"от 60 000 до 80 000 ₽ за месяц,  до вычета налогов",Не указана,"JEFFREY’S COFFEE (Партнеры) Alaska.Hygge.Wild Нам близка атмосфера Аляски и путешествий. Наши кофейни — это островки хюгге в шумных городах, уютные хижины — в северных краях. Если вы любите создавать уют, дружелюбны и открыты новому — рады видеть вас в нашей команде! Jeffreys — это сеть из более чем 30 кофеен, мы работаем на зерне класса specialty. Миссия нашего бариста звучит так: Бариста Джеффрис искреннее заботится о госте. Он делает так, чтобы гость быстро получил вкусный напиток и ушел от нас с настроением в плюс. Мы предлагаем: ⁃ бесплатное обучение (для Москвы и МО). ⁃ сменный график работы, который подбирается в соответствии с вашими возможностями (возможны дневные, утренние и вечерние смены от 24 часов в неделю). ⁃ скидка 30-50% на продукцию компании, бесплатные напитки во время смены. ⁃ ставка от 280 р/ч после аттестации ⁃ карьерный рост (менеджер, тренер, сотрудник офиса). ⁃ дружную команду, которая готова всегда помочь и научить! Обязанности: - работа с кассой; - приготовление напитков по технологической карте; - поддержание чистоты на рабочем месте; - принятие поставок; - выдача еды и десертов. Нам важно, чтобы вы: ⁃ были дружелюбны и открыты людям - проявляли инициативу и были неравнодушны ⁃ были самоорганизованый и пунктуальны - любили кофе - любили уют и чистоту Опыт работы бариста желателен, но не обязателен, всему научим в нашей Академии Бариста Jeffrey’s Владимир"
"Срочная вакансия Бариста в кофейню Груша (мцд. Сколково, ул. Нобеля, 3)",https://hh.ru/vacancy/117960136?query=%D0%B1%D0%B0%D1%80%D0%B8%D1%81%D1%82%D0%B0&hhtmFrom=vacancy_search_list,"от 60 000 до 80 000 ₽ за месяц,  на руки",Не указана,"Срочная вакансия Бариста в крутую команду - успей до 28 Марта! За неделю обучим и сразу выведем в стабильный график! Груша - это сеть современных кофеен, где работает формула заботливый сервис+качественный кофе= довольные гости с желанием вернуться вновь!Ты - наш кандидат, если у тебя:есть жгучая любовь к кофе,щепотка ответственности;и желание работать с людьми;Тебя ждёт:Обучение за наш счёт;Суммарная ставка 375₽/ч;Гибкий график на 2 недели вперед;Смены от 3 дней в неделю по 8/10ч;Бесплатное питание на 2 или 3 блюда, а также напитки;Официальное оформление после 3 мес. работы;Мы предлагаем:Премию 3000 ₽ за каждого приведенного друга;Скидку 45% на всю продукцию, напитки и зерно;Возможность роста за год до Старшего Бариста/ Лидера кофеен/ HR/ SMM;Встречи команды для общей разрядки и вдохновения;Связаться с нами можно и нужно в любое время! Ждём только тебя - успей до 28 Марта!"
Бариста (м. Ленинский проспект),https://hh.ru/vacancy/117220368?query=%D0%B1%D0%B0%D1%80%D0%B8%D1%81%D1%82%D0%B0&hhtmFrom=vacancy_search_list,"от 80 000 ₽ за месяц,  на руки",Не указана,"Невозможно представить свой день без ароматного кофе и уютной обстановки? Тогда у нас есть для тебя уникальное предложение – стать частью нашей дружной команды кофеен Даблби! Мы ищем энергичных, внимательных к деталям и дружелюбных бариста, готовых создавать атмосферу, в которую хочется возвращаться снова и снова. Не переживай, если у тебя нет опыта работы в кофейном деле – наши эксперты научат тебя всему, от основ заваривания высококачественного кофе до искусства латте-арта!   От нас:  Оформление по ТК РФ; Оплачиваемые отпуск и больничный; Ставка от 300 р/ч с последующим ростом, kpi, премией за расширение зоны ответственности. От 70000 до 90000 в месяц на руки; Прохождение корпоративного обучения в нашей Академии: для новичков - полное, с опытом - возможно сокращение исходя из необходимых навыков; Стипендия 45000 за прохождение обучения* (20 рабочих дней). Половина за первые 10 дней и вторая после экзамена и трудоустройства; Подбор кофейни исходя из потребностей в кофейнях, учитывая Ваше место жительства; Гибкий график. От 40 часов в неделю. Смены: утренние с 7:30, дневные до 22:30. Смена от 8 часов. Время на открытия, закрытия и перерывы оплачиваются; Возможность карьерного роста и расширения зоны ответственности; Приводи друзей и получи бонус 15.000 рублей за каждого! Возможность проходить дополнительную подготовку по профессиональным навыкам (латте-арт, сенсорные навыки, калибровки и консультации); Помощь в подготовке к соревнованиям (на волонтёрских началах).    От Вас:  Поддержание комфортной атмосферы с гостями и коллегами; Приготовление напитков по технологии и стандартам Даблби (научим!); Понимание устройства и работы оборудования и минимальное его обслуживания (научим!); Настройка и подбор рецептов на кофе и чай по вкусу (научим!); Приветливое общение с гостями и ориентация по меню, согласно их предпочтений (научим!); Работа с кассовым оборудованием и отчётностью; Наведение порядка и чистоты в кофейне; Выполнение норм СанПиНа и гигиены; Приём поставок от поставщиков.  Научим! Всему, что нужно для комфортной работы * Полное обучение в нашей Академии с выплатой стипендии (45000) по ученическому договору. Обучение 20 рабочих дней:  Введение (3 дня) Знакомство с миром кофе и чая. Развитие вкуса. Эспрессо (5 дней) Оборудование и навыки приготовления. Молоко (5 дней) Молочные напитки, латте-арт. Дегустация всего меню. Сервис (2 дня) Навыки коммуникации и общения с гостями и коллегами. Стажировки (4 дня) Отработка всех навыков с тренером в разных кофейнях. Экзамен (1 день) Проверка всех навыков и вручение сертификата."
Бариста-кассир в сеть кофеен,https://hh.ru/vacancy/118228268?query=%D0%B1%D0%B0%D1%80%D0%B8%D1%81%D1%82%D0%B0&hhtmFrom=vacancy_search_list,"от 80 000 ₽ за месяц,  на руки",Не указана,"CofeFest — это не просто сеть кофеен, это место, где каждый найдет свою атмосферу. Мы создаем вкус и дарим настроение! CofeFest сегодня – это более 150 кофеен различного формата: от уютных кофеен в бизнес-центрах и медицинских учреждениях, до современных заведений с расширенной посадкой. Наши ценности — это основа нашего успеха. Мы уверены, что ответственность, качество, вовлеченность и поддержка помогут создать уникальную среду, где каждый сотрудник чувствует свою значимость. Мы свободны от стереотипов: в нашей команде не важны национальность, пол или годы. Мы постоянно развиваемся, совершенствуемся и поддерживаем стремление сотрудников к развитию и самореализации. Нам абсолютно не важно есть ли у вас опыт, мы будем рады видеть вас в команде COFEFEST! Мы предлагаем: · Официальное трудоустройство по ТК РФ. · График работы 6/1, 5/2, 2/2 с 7.00 до 19.00 · Конкурентную заработную плату. Бонусы и % от продаж. · Возможность влиять на свой доход. Дополнительная мотивация. · Бесплатное двухразовое питание и напитки. · Бесплатное обучение и стильная униформа. · Оплачиваемая стажировка. · Скидки на продукцию · Возможности профессионального развития и карьерного роста. Наши бариста растут по карьерной лестнице до старших бариста, территориальных управляющих и региональных директоров. · Работа рядом с домом. Удобная транспортная доступность. Все кофейни находятся в Москве, подберем наиболее удобную по расположению. · Дружный, отзывчивый коллектив, готовый оказать поддержку в решении любых вопросов. · А также: профессиональные конкурсы, сладкие подарки и поздравления на праздники, приятные комплименты от Компании. Обязанности: · Качественное приготовление кофе и других напитков по утвержденным рецептурам. · Прием и выкладка продукции. · Активные продажи продукции собственного производства COFEFEST (готовая выпечка, кулинария, кофе и десерты). Работа с кассой (iiko). · Поддержание чистоты и порядка на рабочем месте. · Создание уютной атмосферы гостеприимства и позитивного настроения гостей. Наши пожелания к новому сотруднику: · Позитивный настрой, желание работать, расти и развиваться вместе с нами. · Приветливость, коммуникабельность, ориентация на клиента. · Ответственность, аккуратность, пунктуальность. Присоединяйся к нашей дружной команде и открой для себя новые горизонты! Сделай свое будущее с CofeFest!"
